"","NewUID","latitude","longitude","region","Elevation30m","ChiliHeatLoad","BioclimMeanAnnualPrecip","ApanMeanSchulze","FrostDur","Gmap","tmean13c","tminave01c","tminave07c","RFL_SEAS","RFL_CONC"
"1","620_1_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"2","620_10_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"3","620_11_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"4","620_12_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"5","620_13_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"6","620_14_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"7","620_15_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"8","620_16_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"9","620_17_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"10","620_2_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"11","620_3_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"12","620_4_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
"13","620_5_HK",-34.36736,18.86343,"Hangklip",24,201,19.41670036,NA,NA,916,16.10000038,15.39999962,6.800000191,2,38.09999847
